,course_id,title,cleaned_content
0,9,The Bits and Bytes of Computer Networking,"this course is designed to provide a full overview of computer networking we ll cover everything from the fundamentals of modern networking technologies and protocols to an overview of the cloud to practical applications and network troubleshooting by the end of this course, you ll be able to describe computer networks in terms of a five layer model understand all of the standard protocols involved with tcp/ip communications grasp powerful network troubleshooting tools and techniques learn network services like dns and dhcp that help make computer networks run understand cloud computing, everything as a service, and cloud storage introduction to networking to the networking course of the it support professional certificate in the first week of this course, we will cover the basics of computer networking we will learn about the tcp/ip and osi networking models and how the network layers work together we ll also cover the basics of networking devices such as cables, hubs and switches, routers, servers and clients we ll also explore the physical layer and data link layer of our networking model in more detail by the end of this module, you will know how all the different layers of the network model fit together to create a network hours to complete hours to complete reading videos total min , readings, quizzes see all video videos course introduction m the tcp/ip five layer network model m alex why networking m cables m hubs and switches m routers m servers and clients m sergio being a network engineer m moving bits across the wire m twisted pair cabling and duplexing m network ports and patch panels m ethernet and mac addresses m unicast, multicast, and broadcast m dissecting an ethernet frame m victor escobedo practical experience in it m reading readings navigating coursera m program surveys m how to use discussion forums m get to know your classmates m earn a dual google/comp tia a credential m supplementary reading for the osi networking model m supplemental reading for ethernet over twisted pair technologies m graded plugin m quiz practice exercises tcp/ip m networking devices m the physical layer m the data link layer m layers in networking models m networking basics h m week week hours to complete hours to complete the network layer in the second week of this course, we ll explore the network layer in more depth we ll learn about the ip addressing scheme and how subnetting works we ll explore how encapsulation works and how protocols such as arp allow different layers of the network to communicate we ll also cover the basics of routing, routing protocols, and how the internet works by the end of this module, you ll be able to describe the ip addressing scheme, understand how subnetting works, perform binary math to describe subnets, and understand how the internet works hours to complete hours to complete reading videos total min , readings, quizzes see all video videos introduction to the network layer m the network layer m ip addresses m ip datagrams and encapsulation m ip address classes m address resolution protocol m sergio path m subnetting m subnet masks m basic binary math m cidr m motivation m basic routing concepts m routing tables m interior gateway protocols m exterior gateway protocols m non routable address space m alex good story m reading readings supplemental reading for routing protocol examples m supplemental reading for rfcs and standards m graded plugin m quiz practice exercises the network layer m subnetting m routing m routing paths and subnets m the network layer h m week week hours to complete hours to complete the transport and application layers in the third week of this course, we ll explore the transport and application layers by the end of this module, you ll be able to describe tcp ports and sockets, identify the different components of a tcp header, show the difference between connection oriented and connectionless protocols, and explain how tcp is used to ensure data integrity hours to complete hours to complete reading videos total min , reading, quizzes see all video videos introduction to the transport and application layers m the transport layer m dissection of a tcp segment m tcp control flags and the three way handshake m tcp socket states m connection oriented and connectionless protocols m firewalls m the application layer m the application layer and the osi model m all the layers working in unison m learner story daniel m reading reading supplemental reading for system ports versus ephemeral ports m quiz practice exercises the transport layer m the application layer m the transport and application layer h m the five layer network model h week week hours to complete hours to complete networking services in the fourth week of this course, we ll explore networking services we ll learn about why we need dns and how it works we ll also show you why dhcp makes network administration a simpler task by the end of this module, you ll be able to do describe how dns and dhcp work, how nat technologies help keep networks secure, and how vpns and proxies help users connect and stay secured hours to complete hours to complete reading videos total min , readings, quizzes see all video videos introduction to network services m why do we need dns m the many steps of name resolution m dns and udp m sergio it great field m resource record types m anatomy of a domain name m dns zones m overview of dhcp m dhcp in action m basics of nat m nat and the transport layer m nat, non routable address space and the limits of ipv m virtual private networks m proxy services m reading readings supplemental reading for ipv address exhaustion m graded plugin m quiz practice exercises name resolution m name resolution in practice m dynamic host configuration protocol m network address translation m vpns proxies m networking services simulation m networking services h m show more"
1,31,"Introduction to Tensor Flow for Artificial Intelligence, Machine Learning, and Deep Learning","if you are a software developer who wants to build scalable ai powered algorithms, you need to understand how to use the tools to build them this course is part of the upcoming machine learning in tensorflow specialization and will teach you best practices for using tensor flow, a popular open source framework for machine learning the machine learning course and deep learning specialization from andrew ng teach the most important and foundational principles of machine learning and deep learning this new deeplearning ai tensor flow specialization teaches you how to use tensor flow to implement those principles so that you can start building and applying scalable models to real world problems to develop a deeper understanding of how neural networks work, we recommend that you take the deep learning specialization week week hours to complete minutes to complete introduction thanks for joining the course watch the video below to get started hours to complete minutes to complete reading video total min see all video video to first step korean m hours to complete hours to complete the korean alphabet in this module, you will learn the korean alphabet or korean writing system called hangeul after completing the lessons, you will be able to understand the principles how each letter was invented also, you will be able to read and write hangeul hours to complete hours to complete reading videos total min , readings, quizzes see all video videos lecture m lecture m how to use m lecture m lecture m reading readings lecture notes m lecture notes m korean character practice program m lecture notes m lecture notes m quiz practice exercises graded quiz m graded quiz m graded quiz m graded quiz m week week hours to complete hours to complete greetings and introducing in this module, you will learn how to greet, ask someone s nationalities / jobs and answer those questions in korean after completing the lessons, you will be able to introduce yourself, greet a person and talk about someone s nationalities and occupations hours to complete hours to complete reading videos total min , readings, quizzes see all video videos lecture m lecture m lecture m lecture m korean way of speech m reading readings lecture notes m lecture notes m lecture notes m lecture notes m quiz practice exercises graded quiz m graded quiz m graded quiz m graded quiz m week week hours to complete hours to complete family in this module, you will learn the expressions about family after completing the lessons, you will be able to talk about the family members and learn how to count bers hours to complete hours to complete reading videos total min , readings, quizzes see all video videos lecture m lecture m lecture m lecture m korean family m reading readings lecture notes m lecture notes m lecture notes m lecture notes m quiz practice exercises graded quiz m graded quiz m graded quiz m graded quiz m week week hours to complete hours to complete time and date in this module, you will learn about time and date in korean and you will also say the days of the week as well after completing the lessons, you will be able to ask and repond time date using korean bers hours to complete hours to complete reading videos total min , readings, quizzes see all video videos lecture m lecture m lecture m lecture m reading readings lecture notes m lecture notes m lecture notes m lecture notes m quiz practice exercises graded quiz m graded quiz m graded quiz m graded quiz m show more"
2,32,Operating Systems and You Becoming a Power User,"in this course through a combination of video lectures, demonstrations, and hands on practice you ll learn about the main components of an operating system and how to perform critical tasks like managing software and users, and configuring hardware by the end of this course you ll be able to navigate the windows and linux filesystems using a graphical user interface and command line interpreter set up users, groups, and permissions for account access install, configure, and remove software on the windows and linux operating systems configure disk partitions and filesystems understand how system processes work and how to manage them work with system logs and remote connection tools utilize operating system knowledge to troubleshoot common issues in an it support specialist role navigating the system to the operating systems course of the it support professional certificate in the first week of this course, we will cover the basics of windows and linux operating systems os we will learn about how directories and files work in windows and linux os you will also learn practical ways to manipulate files and directories in the windows graphical user interface gui , windows command line interface cli , and linux shell by the end of this module, you will interact with files and directories and perform basic text manipulation in windows and linux os hours to complete hours to complete reading videos total min , readings, quizzes see all video videos course introduction m lesson overview practice tips m list directories in a gui m windows list directories in cli m linux list directories m windows changing directories in the gui m windows changing directories in the cli m linux changing directories in bash m windows make directories in the gui cli m linux make directories in bash m windows command history m linux command history s windows copying files directories m linux copying files and directories m windows moving and renaming files, directories m linux moving and renaming files, directories m windows removing files directories m linux removing files directories m cindy why os is important m learner story chelsea m windows display file contents m linux display file contents m windows modifying text files m linux modifying text files m windows powershell m windows searching within files m windows searching within directories m linux searching within files m windows input, output, and the pipeline m linux input, output and pipeline m windows and linux advanced navigation m ben first tech job m reading readings navigating coursera m program surveys m how to use discussion forums m get to know your classmates m supplemental reading for windows cli unix bash m supplemental reading for size vs size of disk in windows m supplemental reading for notepad m supplemental reading for gnu documentation m supplemental reading for windows power shell m instructions for accessing linux and windows qwiklabs m quiz practice exercises basic commands m file and text manipulation m accessing qwiklabs m week week hours to complete hours to complete users and permissions in the second week of this course, we ll learn about configuring users and permissions in windows and linux os as an it support specialist, it s important to know how to grant the appropriate permissions to users and groups for both windows and linux os by the end of this module, you will know how to add, modify, and remove users for a computer and for specific files and folders by using the windows gui, windows cli, and linux shell hours to complete hours to complete reading videos total min , readings, quizzes see all video videos users, administrators, and groups, oh my m windows view user and group information m windows view user and group information using cli m linux users, superuser and beyond m windows passwords m linux passwords m windows adding and removing users m linux adding and removing users s mobile users and accounts m ben life as a cio m windows file permissions m linux file permissions m windows modifying permissions m linux modifying permissions m windows special permissions m linux set uid, set gid, sticky bit m reading readings supplemental reading for windows passwords m supplemental readings for mobile users and accounts m supplemental reading for windows acl m supplemental reading for special permissions in windows m quiz practice exercise permissions m week week hours to complete hours to complete package and software management in the third week of this course, we ll learn about package and software management in windows and linux os it s important to know how package installs work and how devices and drivers are managed within these operating systems we will also learn about different packaging and file compression methods by the end of this module, you will know how to create, update, and remove software by using the windows gui, windows cli and linux shell hours to complete hours to complete reading videos total min , readings, quizzes see all video videos module introduction s windows software packages m linux software packages m mobile app packages m windows archives m linux archives m windows package dependencies m linux package dependencies m windows package manager m linux package manager apt m windows underneath the hood m linux underneath the hood m windows devices and drivers m linux devices and drivers m window operating system updates m linux operating system updates m reading readings supplemental reading for windows software packages m supplemental reading for mobile app packages m supplemental reading for zip and power shell zips m supplemental reading for the linux tar command m supplemental reading for windows package dependencies m supplemental reading for linux package dependencies m supplemental reading for windows package managers m supplemental reading for linux ppas m supplemental reading on gimp m supplemental reading for windows installers and process monitors m supplemental reading windows devices and drivers m supplemental reading for linux devices and drivers m supplemental reading for windows update m supplemental reading for linux update m quiz practice exercises software distribution m package managers m what s happening in the background m device software management m week week hours to complete hours to complete filesystems in the fourth week of this course, we ll learn about how filesystems work for windows and linux os we ll learn about filesystem types and why they re different for certain os we ll learn about disk partitioning and virtual memory and why these are so important for an it support specialist s role we ll also cover ways mount and unmount filesystems, read disk usage, and repair filesystems by the end of this module, you will partition and format a disk drive yourself in both windows and linux hours to complete hours to complete reading videos total min , readings, quizzes see all video videos module introduction s review of filesystems m disk anatomy m windows disk partitioning and formatting a filesystem m windows mounting and unmounting a filesystem s linux disk partitioning and formatting a filesystem m linux mounting and unmounting a filesystem m windows swap m linux swap m windows files m linux files m windows disk usage m linux disk usage m windows filesystem repair m linux filesystem repair m ben passion m reading readings supplemental reading for fat file system m supplemental reading for disk partitioning and formatting in windows m supplemental reading mounting and unmounting a filesystem in linux m supplemental reading for windows paging m supplemental reading for linux swap m supplemental reading on ntfs file system m supplemental reading for windows disk usage m supplemental reading for linux disk usage m supplemental reading for linux filesystem repair m quiz practice exercise filesystem types m show more"
3,41,Initiating and Planning Projects,"the courses in the introduction to project management principles and practices specialization are a recommended precursor to uci s applied project management certificate successful projects require careful upfront planning in this course, you ll learn the key roles and responsibilities of the project manager and project team you ll also learn to answer some key questions upfront to help you meet project objectives what will this project accomplish why is this project important who benefits from this project how will we plan for successful outcomes upon completing this course, you will be able to identify the key characteristics of a project identify primary project constraints define the role and responsibilities of the project manager identify project organizational structures understand the definition of a project stakeholder identify project stakeholders identify information needs of the project stakeholders define responsibility for managing stakeholder and controlling stakeholder engagement define the purpose of using a project charter summarize the key elements of a project plan identify common sources of conflict within a project environment describe the difference between authority and influence week week hours to complete minutes to complete get started get started in this module by reviewing the course overview and participating in the course survey hours to complete minutes to complete reading readings see all reading readings m course survey m week week hours to complete hour to complete what is a project in this module, we will identify the key characteristics of a project, identify primary project constraints, define the role and responsibilities of the project manager, and identify project organizational structures hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video deciphering the pmbok guide m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hours to complete get to know your stakeholders in this module, we will understand the definition of a project stakeholder, identify who they are, identify their information needs, and define responsibility for managing stakeholders and controlling their engagement hours to complete hours to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video a stakeholder story m reading readings congratulations m lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hour to complete scope matters in this module, we will define the purpose of using a project charter, summarize the key elements of a project plan, and discuss the scope statement and the work breakdown structure wbs hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video wbs we build strength m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m show more"
4,42,Computational Thinking for Problem Solving,"computational thinking is the process of approaching a problem in a systematic manner and creating and expressing a solution such that it can be carried out by a computer but you don t need to be a computer scientist to think like a computer scientist in fact, we encourage students from any field of study to take this course many quantitative and data centric problems can be solved using computational thinking and an understanding of computational thinking will give you a foundation for solving problems that have real world, social impact in this course, you will learn about the pillars of computational thinking, how computer scientists develop and analyze algorithms, and how solutions can be realized on a computer using the python programming language by the end of the course, you will be able to develop an algorithm and express it to the computer by writing a simple python program this course will introduce you to people from diverse professions who use computational thinking to solve problems you will engage with a unique community of analytical thinkers and be encouraged to consider how you can make a positive social impact through computational thinking week week hours to complete minutes to complete get started get started in this module by reviewing the course overview and participating in the course survey hours to complete minutes to complete reading readings see all reading readings m course survey m week week hours to complete hour to complete what is a project in this module, we will identify the key characteristics of a project, identify primary project constraints, define the role and responsibilities of the project manager, and identify project organizational structures hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video deciphering the pmbok guide m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hours to complete get to know your stakeholders in this module, we will understand the definition of a project stakeholder, identify who they are, identify their information needs, and define responsibility for managing stakeholders and controlling their engagement hours to complete hours to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video a stakeholder story m reading readings congratulations m lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hour to complete scope matters in this module, we will define the purpose of using a project charter, summarize the key elements of a project plan, and discuss the scope statement and the work breakdown structure wbs hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video wbs we build strength m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m show more"
5,43,Agile with Atlassian Jira,"agile teams use just enough planning and an incremental approach to accomplishing the work of the team every project and every team uses a custom agile methodology this course discusses common foundational principles and practices used by agile methodologies, providing the student a flexible set of tools to use in any role e g product owner, scrum master, project manager, team member on any agile team this course mainly discusses agile and lean principles, the kanban and scrum agile methodologies, and uses atlassian jira software cloud as the main software tool to apply hands on learning of the topics the course includes instruction on classic jira projects as well as the new next gen jira projects students can use the free plan of atlassian jira software cloud to complete the hands on labs associated with this course by the time you have completed this course, you will have a strong foundational understanding of agile principles and practices, and strong hands on experience with atlassian jira software cloud you will be the site administrator for your jira account, so you will be able to perform basic administration tasks on your site you should be able to continuously configure your jira project s to match your team s custom agile methodology you can watch the videos and take the quizzes from your phone if you want, but the hands on labs using atlassian jira software cloud require you to have a windows, mac or linux computer this course tries to be as concise as possible it will probably take you about hours to go through, but your mileage may vary it is highly encouraged that you apply what you learn to managing personal agile projects after the course is complete week week hours to complete minutes to complete get started get started in this module by reviewing the course overview and participating in the course survey hours to complete minutes to complete reading readings see all reading readings m course survey m week week hours to complete hour to complete what is a project in this module, we will identify the key characteristics of a project, identify primary project constraints, define the role and responsibilities of the project manager, and identify project organizational structures hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video deciphering the pmbok guide m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hours to complete get to know your stakeholders in this module, we will understand the definition of a project stakeholder, identify who they are, identify their information needs, and define responsibility for managing stakeholders and controlling their engagement hours to complete hours to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video a stakeholder story m reading readings congratulations m lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hour to complete scope matters in this module, we will define the purpose of using a project charter, summarize the key elements of a project plan, and discuss the scope statement and the work breakdown structure wbs hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video wbs we build strength m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m show more"
6,44,Fundamentals of Graphic Design,"graphic design is all around us words and pictures the building blocks of graphic design are the elements that carry the majority of the content in both the digital world and the printed world as graphic design becomes more visible and prevalent in our lives, graphic design as a practice becomes more important in our culture through visual examples, this course will teach you the fundamental principles of graphic design imagemaking, typography, composition, working with color and shape foundational skills that are common in all areas of graphic design practice i don t just want you to watch a video of someone talking about design, i want you to make design if you want to be a designer you have to be a maker and a communicator, so this course will offer you lots of opportunities to get your hands dirty with exercises and with more practical projects at the end of this course you will have learned how to explore and investigate visual representation through a range of image making techniques understand basic principles of working with shape, color and pattern been exposed to the language and skills of typography and understand and have applied the principles of composition and visual contrast if you complete the course, along with its optional but highly recommended briefs, you will have a core set of graphic design skills that you can apply to your own projects, or to more deeply investigate a specialized area of graphic design to succeed in this course you will need access to a computer you can complete this course without one but it will be tougher access to, and a beginner s level knowledge of adobe creative suite programs, such as illustrator, photoshop and in design will help you, especially if you want to complete the optional briefs week week hours to complete minutes to complete get started get started in this module by reviewing the course overview and participating in the course survey hours to complete minutes to complete reading readings see all reading readings m course survey m week week hours to complete hour to complete what is a project in this module, we will identify the key characteristics of a project, identify primary project constraints, define the role and responsibilities of the project manager, and identify project organizational structures hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video deciphering the pmbok guide m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hours to complete get to know your stakeholders in this module, we will understand the definition of a project stakeholder, identify who they are, identify their information needs, and define responsibility for managing stakeholders and controlling their engagement hours to complete hours to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video a stakeholder story m reading readings congratulations m lesson m optional readings m exercise m quiz practice exercise module quiz m week week hours to complete hour to complete scope matters in this module, we will define the purpose of using a project charter, summarize the key elements of a project plan, and discuss the scope statement and the work breakdown structure wbs hours to complete hour to complete reading videos total min , readings, quiz see all video videos lecture m case study m bonus video wbs we build strength m reading readings lesson m optional readings m exercise m quiz practice exercise module quiz m show more"
7,45,Introduction to User Experience Design,"the focus of this course is to introduce the learner to user experience ux design user experience design is design that is user centered the goal is to design artifacts that allow the users to meet their needs in the most effective efficient and satisfying manner the course introduces the novice to a cycle of discovery and evaluation and a set of techniques that meet the user s needs this course is geared toward the novice it is for learners that have heard about user experience or user interface design but don t really know much about these disciplines the course mantra is that design is a systematic and data driven process design is systematic because it is based on a set of techniques and also on a cycle of discovery in this course the learner is introduced to the four step user interface design cycle along the way learners are exposed to a set of techniques to gather information about a what the user needs b how to design and model interfaces based on these and then how to evaluate the design to ascertain that the user s goals are met these techniques are tools that are used in a standardized manner and give us the data we use in our design this means that anyone regardless of their current training that is willing to learn these techniques and follow the proposed cycle can be a ux designer week week hours to complete hour to complete what you should know before you start this course hours to complete hour to complete reading readings see all reading readings focus of this course m syllabus m consent form m step design process m outcomes m faqs m get more from georgia tech m hours to complete hour to complete overview of user experience design in these lectures we introduce the basic concepts covered in this course hours to complete hour to complete reading videos total min , reading, quiz see all video videos important terms and concepts m features of good design m user engagement ethics m reading reading general resources m quiz practice exercise overview of user experience design m week week hours to complete hour to complete requirement gathering the first step of the design cycle is presented along with techniques that are relevant for understanding the user and tasks there is also a focus on how to present findings from this phase of the design cycle hours to complete hour to complete reading videos total min , reading, quiz see all video videos overview m types of users and types of data m discovery technique overview m naturalistic observation m survey m focus group m interview m user results m presenting task findings m reading reading resources for requirement gathering m quiz practice exercise elements of requirement gathering m week week hours to complete hour to complete designing alternatives the second step of the design cycle is presented students are shown how to take the findings from phase requirement gathering to design mobile and ubiquitous computing systems that meet the usablility constraints that were identified hours to complete hour to complete reading videos total min see all video videos review of design goals m design alternatives m quiz practice exercise designing alternatives m week week hours to complete hour to complete prototyping the third step of the design cycle is presented once the best design is chosen how to we iteratively design models of the system to quickly allow user to interact and provide feedback hours to complete hour to complete reading videos total min , readings, quiz see all video videos prototyping lesson m prototyping lesson m reading readings resources and tools for protoyping m resources for prototyping m quiz practice exercise prototyping m show more"
8,47,"Python for Data Science, AI Development","kickstart your learning of python for data science, as well as programming in general, with this beginner friendly introduction to python python is one of the world s most popular programming languages, and there has never been greater demand for professionals with the ability to apply python fundamentals to drive business solutions across industries this course will take you from zero to programming in python in a matter of hours no prior programming experience necessary you will learn python fundamentals, including data structures and data analysis, complete hands on exercises throughout the course modules, and create a final project to demonstrate your new skills by the end of this course, you ll feel comfortable creating basic programs, working with data, and solving real world problems in python you ll gain a strong foundation for more advanced learning in the field, and develop skills to help advance your career this course can be applied to multiple specialization or professional certificate programs completing this course will count towards your learning in any of the following programs ibm applied ai professional certificate applied data science specialization ibm data science professional certificate upon completion of any of the above programs, in addition to earning a specialization completion certificate from coursera, you ll also receive a digital badge from ibm recognizing your expertise in the field python basics this module teaches the basics of python and begins by exploring some of the different data types such as integers, real bers, and strings continue with the module and learn how to use expressions in mathematical operations, store values in variables, and the many different ways to manipulate strings hours to complete hours to complete reading videos total min , reading, quizzes see all video videos types m expressions and variables m string operations m reading reading about this course m quiz practice exercises practice quiz m practice quiz m practice quiz m module graded quiz m week week hours to complete hours to complete python data structures this module begins a journey into python data structures by explaining the use of lists and tuples and how they are able to store collections of data in a single variable next learn about dictionaries and how they function by storing data in pairs of keys and values, and end with python sets to learn how this type of collection can appear in any order and will only contain unique elements hours to complete hours to complete reading videos total min see all video videos list and tuples m dictionaries m sets m quiz practice exercises practice quiz m practice quiz m practice quiz m module graded quiz m week week hours to complete hours to complete python programming fundamentals this module discusses python fundamentals and begins with the concepts of conditions and branching continue through the module and learn how to implement loops to iterate over sequences, create functions to perform a specific task, perform exception handling to catch errors, and how classes are needed to create objects hours to complete hours to complete reading videos total min see all video videos conditions and branching m loops m functions m exception handling m objects and classes m quiz practice exercises practice quiz m practice quiz m practice quiz m practice quiz m practice quiz m module graded quiz m week week hours to complete hours to complete working with data in python this module explains the basics of working with data in python and begins the path with learning how to read and write files continue the module and uncover the best python libraries that will aid in data manipulation and mathematical operations hours to complete hours to complete reading videos total min see all video videos reading files with open m writing files with open m loading data with pandas m pandas working with and saving data m one dimensional numpy m two dimensional numpy m quiz practice exercises practice quiz m practice quiz m practice quiz m module graded quiz m show more"
9,49,Natural Language Processing with Classification and Vector Spaces,"in course of the natural language processing specialization, offered by deeplearning ai, you will a perform sentiment analysis of tweets using logistic regression and then na ve bayes, b use vector space models to discover relationships between words and use pca to reduce the dimensionality of the vector space and visualize those relationships, and c write a simple english to french translation algorithm using pre computed word embeddings and locality sensitive hashing to relate words via approximate k nearest neighbor search please make sure that you re comfortable programming in python and have a basic knowledge of machine learning, matrix multiplications, and conditional probability by the end of this specialization, you will have designed nlp applications that perform question answering and sentiment analysis, created tools to translate languages and summarize text, and even built a chatbot this specialization is designed and taught by two experts in nlp, machine learning, and deep learning younes bensouda mourri is an instructor of ai at stanford university who also helped build the deep learning specialization ukasz kaiser is a staff research scientist at google brain and the co author of tensorflow, the tensor tensor and trax libraries, and the transformer paper the marketing process we ll start with an overview of the marketing process and the transformational role of analytics then we ll walk through a case study ever heard of airbnb they re a powerhouse of the online community marketplace matching travelers to hosts you ll see how they use analytics and the surprising results of their analyses hours to complete hours to complete reading videos total min , readings, quizzes see all video videos data, data everywhere m m why marketing analytics m introduction to the marketing process m airbnb marketing process m airbnb s strategic challenge m airbnb s marketing strategy with data m using text analytics m utilizing data to improve marketing strategy m takeaways improving the marketing process with analytics m reading readings requirements m use discussion forums to deepen your learning m quiz practice exercises practice quiz on the marketing process m practice quiz on data analytics basics m week quiz the marketing process m week week hours to complete hours to complete metrics for measuring brand assets firms spend millions on branding for one reason it allows them to charge more for their products and services in this module, we ll explore this valuable, if intangible, asset we ll discuss how to build and define a brand architecture and how to measure the impact of marketing efforts on brand value over time by the end of this module, you ll be able to measure and track brand value so let s get started hours to complete hours to complete reading videos total min see all video videos intro to metrics for measuring brand assets m snapple and brand value m developing brand personality m brand personality red bull m developing brand architecture m brand architecture red bull m brand architecture etch a sketch m measuring brand value m measuring brand value key points m revenue premium as a measure of brand equity m calculating brand value snapple m takeaways measuring brand value m quiz practice exercises practice quiz on brand and brand architecture m practice quiz on calculating brand value m week quiz on measuring brand assets m week week hours to complete hours to complete customer lifetime value how valuable are your customers that s a tough question that we ll show you how to answer in this module where we ll explore customer lifetime value, or the future net value of a customer relationship this forward looking measure of the customer relationship helps you connect marketing strategies to future financial consequences and invest marketing dollars in the right place to maximize return over a customer s lifetime by the end of this module, you will know how to measure customer lifetime value and evaluate strategic marketing alternatives based on whether they improve customer retention and lifetime value hours to complete hours to complete reading videos total min see all video videos to week m customer lifetime value clv m customer lifetime value netflix m calculating clv m understanding the clv formula m applying the clv formula netflix m extending the clv formula, part m extending the clv formula, part m using clv to make decisions ibm m clv a forward looking measure m takeaways clv m quiz practice exercises practice quiz on clv m week quiz on clv m week week hours to complete hours to complete marketing experiments ever wonder how much you have to cut prices to drive the most sales or which advertisement copy is more effective in customer conversion do an experiment experiments allow you to understand the effectiveness of different marketing strategies and forecast expected roi this week, we ll explore how to design basic experiments so that you can assess your marketing efforts and invest your marketing dollars most effectively we ll help you avoid a gap between your test results and field implementation, and explore how web experiments can be implemented cheaply and quickly by the end of this module, you ll be able to design and conduct effective experiments that test your marketing campaigns and then use the results to make future marketing decisions hours to complete hours to complete reading videos total min , readings, quizzes see all video videos to week m determining cause and effect through experiments m designing basic experiments m designing before after experiments m designing full factorial web experiments m designing an experiment etch a sketch m analyzing an experiment etch a sketch m analyzing an experiment betty spaghetty m projecting lift m calculating projected lift betty spaghetty m pitfalls of marketing experiments betty spaghetty m maximizing effectiveness nanoblocks m takeaways marketing experiments m reading readings spreadsheet with formulas m transformation of marketing at the ohio art company abridged m mbtn assessments m quiz practice exercises practice quiz on designing experiments m practice quiz on calculating break even and lift m practice quiz on projecting lift m week marketing experiments quiz m show more"
