enwiki_page_id,skill_name,page_namespace,depth,enwiki_page_id_of_parent,page_namespace_of_parent
3240726,Computer_engineering,14,0,0,-1
50408,Computer_engineering,0,1,3240726,14
14342207,Outline_of_computer_engineering,0,1,3240726,14
49923551,Vishwani_Agrawal,0,1,3240726,14
3616221,Algorithmic_state_machine,0,1,3240726,14
30992771,Alpha_strike_(engineering),0,1,3240726,14
4234887,AP_Computer_Science,0,1,3240726,14
768299,Broadcast_engineering,0,1,3240726,14
36045138,Chamber_of_Computer_Engineers_of_Turkey,0,1,3240726,14
62811443,Computer_engineering_compendium,0,1,3240726,14
5323,Computer_science,0,1,3240726,14
524425,Computer_science_and_engineering,0,1,3240726,14
26559592,Computing_with_Memory,0,1,3240726,14
7039,Control_theory,0,1,3240726,14
51689157,Daffodil_Polytechnic_Institute,0,1,3240726,14
8525,Digital_signal_processing,0,1,3240726,14
154505,Digital_signal_processor,0,1,3240726,14
9531,Electrical_engineering,0,1,3240726,14
28923910,Electronic_engineering,0,1,3240726,14
53202151,Eyeball_network,0,1,3240726,14
29450015,Gajski-Kuhn_chart,0,1,3240726,14
14907634,George_M._Galambos,0,1,3240726,14
332341,Industrial_data_processing,0,1,3240726,14
11120381,Informatics_engineering,0,1,3240726,14
23772346,J._Halcombe_Laning,0,1,3240726,14
67183204,List_of_requirements_engineering_tools,0,1,3240726,14
1082894,Logic_synthesis,0,1,3240726,14
5732146,Perceived_performance,0,1,3240726,14
20104245,Processing_delay,0,1,3240726,14
7597,Processor_design,0,1,3240726,14
24992,Programmable_logic_controller,0,1,3240726,14
991053,Programmer_(hardware),0,1,3240726,14
41616,Queuing_delay,0,1,3240726,14
1010567,Reflected-wave_switching,0,1,3240726,14
41323011,Regularization_by_spectral_filtering,0,1,3240726,14
264582,Remanence,0,1,3240726,14
47189756,Rice_University_Electrical_and_Computer_Engineering,0,1,3240726,14
562061,Sorting_network,0,1,3240726,14
24469895,Armando_Stettner,0,1,3240726,14
100563,System_on_a_chip,0,1,3240726,14
36280489,Test_vector,0,1,3240726,14
1012800,Thermal_design_power,0,1,3240726,14
995862,Tyranny_of_numbers,0,1,3240726,14
17894942,Ultra-large-scale_systems,0,1,3240726,14
55121469,Application-specific_integrated_circuits,14,1,3240726,14
869984,Computer_architecture,14,1,3240726,14
699548,Computer_hardware,14,1,3240726,14
4677693,Computer_networking,14,1,3240726,14
9935559,Control_engineering,14,1,3240726,14
2909311,Electronic_engineering,14,1,3240726,14
852879,Embedded_systems,14,1,3240726,14
3285479,Gate_arrays,14,1,3240726,14
1240658,Integrated_circuits,14,1,3240726,14
37966054,Professional_certifications_in_computer_engineering,14,1,3240726,14
763505,Signal_processing,14,1,3240726,14
700943,Software_engineering,14,1,3240726,14
1940227,Computer_systems,14,1,3240726,14
4693764,Computer_engineering_stubs,14,1,3240726,14
147845,Application-specific_integrated_circuit,0,2,55121469,14
50827978,AI_accelerator,0,2,55121469,14
12751209,Application-specific_instruction_set_processor,0,2,55121469,14
2384991,Beetle_(ASIC),0,2,55121469,14
55806119,Bitmain,0,2,55121469,14
33770704,Data_processing_unit,0,2,55121469,14
390214,Graphics_processing_unit,0,2,55121469,14
2031045,Hardware_acceleration,0,2,55121469,14
1461173,Network_processor,0,2,55121469,14
59833359,Pixel_Visual_Core,0,2,55121469,14
57508516,RIPAC_(microprocessor),0,2,55121469,14
18426062,Structured_ASIC_platform,0,2,55121469,14
100563,System_on_a_chip,0,2,55121469,14
50673241,Tensor_Processing_Unit,0,2,55121469,14
841546,Digital_signal_processors,14,2,55121469,14
3282805,Graphics_chips,14,2,55121469,14
58659343,Hardware_acceleration,14,2,55121469,14
39012732,Input/output_integrated_circuits,14,2,55121469,14
1761187,Sound_chips,14,2,55121469,14
54554254,Video_compression_and_decompression_ASIC,14,2,55121469,14
25652303,Computer_architecture,0,2,869984,14
574775,Abstraction_layer,0,2,869984,14
507144,Address_space,0,2,869984,14
838142,Addressing_mode,0,2,869984,14
5965480,Aperture_(computer_memory),0,2,869984,14
49277634,Approximate_computing,0,2,869984,14
27046146,Arithmetic_logic_unit,0,2,869984,14
43867008,Autonomous_decentralized_system,0,2,869984,14
23469224,Berkeley_IRAM_project,0,2,869984,14
53549637,Branch_Queue,0,2,869984,14
20067629,Bridging_model,0,2,869984,14
1161199,Byte_addressing,0,2,869984,14
6829,Cache_(computing),0,2,869984,14
50781701,Cache_control_instruction,0,2,869984,14
52036756,Cache_hierarchy,0,2,869984,14
4505223,Cache_pollution,0,2,869984,14
4243241,Cellular_architecture,0,2,869984,14
41682723,Comparison_of_CPU_microarchitectures,0,2,869984,14
22549668,Comparison_of_instruction_set_architectures,0,2,869984,14
7630898,Computational_RAM,0,2,869984,14
8723369,Computer_architecture_simulator,0,2,869984,14
5300,Computer_data_storage,0,2,869984,14
864364,Dataflow,0,2,869984,14
1325032,Dataflow_architecture,0,2,869984,14
51518781,Directory-based_cache_coherence,0,2,869984,14
52275869,Directory-based_coherence,0,2,869984,14
51521334,DOPIPE,0,2,869984,14
27902531,Duncan's_taxonomy,0,2,869984,14
51875565,Feng's_classification,0,2,869984,14
8898329,Frequency_scaling,0,2,869984,14
3561465,Hardware_architect,0,2,869984,14
58019,Harvard_architecture,0,2,869984,14
50015640,Hybrid-core_computing,0,2,869984,14
28739443,IBM_System/360_architecture,0,2,869984,14
330255,Instruction_prefetch,0,2,869984,14
28915147,Instruction_window,0,2,869984,14
35161236,Load–store_architecture,0,2,869984,14
35456317,Load–store_unit,0,2,869984,14
14655528,Machine_Check_Architecture,0,2,869984,14
23548810,Manycore_processor,0,2,869984,14
50223751,MCDRAM,0,2,869984,14
6753240,Memory_dependence_prediction,0,2,869984,14
5375682,Memory_disambiguation,0,2,869984,14
137146,Memory_hierarchy,0,2,869984,14
66924,Memory_management,0,2,869984,14
8294490,Memory_ordering,0,2,869984,14
37463527,Microarchitecture_simulation,0,2,869984,14
12907435,Modified_Harvard_architecture,0,2,869984,14
3503207,Multi-core_processor,0,2,869984,14
16620919,Network_Centric_Product_Support,0,2,869984,14
842110,NonStop_(server_computers),0,2,869984,14
2988853,Northbound_interface,0,2,869984,14
378204,Open_architecture,0,2,869984,14
957085,Popek_and_Goldberg_virtualization_requirements,0,2,869984,14
486432,Processor_register,0,2,869984,14
21306150,Random-access_memory,0,2,869984,14
4696265,Reference_model,0,2,869984,14
1680216,Register_file,0,2,869984,14
435852,Register_renaming,0,2,869984,14
35161367,Register–memory_architecture,0,2,869984,14
185529,Scalability,0,2,869984,14
61037921,Scale_cube,0,2,869984,14
45081735,Shared_memory,0,2,869984,14
67303095,Simple-As-Possible,0,2,869984,14
315021,Simultaneous_multithreading,0,2,869984,14
43320329,"Single_instruction,_multiple_threads",0,2,869984,14
38920422,Single-core,0,2,869984,14
9612499,Slot_(computer_architecture),0,2,869984,14
35891416,SpiNNaker,0,2,869984,14
2786727,Stream_processing,0,2,869984,14
51702,Superscalar_processor,0,2,869984,14
30928451,Synchronous_Data_Flow,0,2,869984,14
14695473,Tagged_architecture,0,2,869984,14
863945,Temporal_multithreading,0,2,869984,14
2830935,Transport_triggered_architecture,0,2,869984,14
35841670,Vectored_interrupt,0,2,869984,14
60447421,Vkernel,0,2,869984,14
478091,Von_Neumann_architecture,0,2,869984,14
64581680,Whitewater_Interactive_System_Development_with_Object_Models,0,2,869984,14
45203418,Xputer,0,2,869984,14
67354408,Zero_register,0,2,869984,14
18065439,Operating_systems_by_architecture,14,2,869984,14
66237481,Supercomputers_by_architecture,14,2,869984,14
47692776,Computer_architects,14,2,869984,14
15326653,Advanced_RISC_Computing,14,2,869984,14
4578171,Capability_systems,14,2,869984,14
5834555,Central_processing_unit,14,2,869984,14
2071681,Classes_of_computers,14,2,869984,14
51180292,Computer_architecture_conferences,14,2,869984,14
51198148,Computer_architecture_statements,14,2,869984,14
782015,Computer_arithmetic,14,2,869984,14
30319671,Consistency_models,14,2,869984,14
23786379,Distributed_computing_architecture,14,2,869984,14
50498810,Distributed_stream_processing,14,2,869984,14
30302080,Fault-tolerant_computer_systems,14,2,869984,14
34150917,Flynn's_taxonomy,14,2,869984,14
42895290,Heterogeneous_computing,14,2,869984,14
44413578,High-level_language_computer_architecture,14,2,869984,14
1094042,IBM_PC_compatibles,14,2,869984,14
5991922,Instruction_processing,14,2,869984,14
23410612,Instruction_set_architectures,14,2,869984,14
9225166,Interoperability,14,2,869984,14
3468652,Interrupts,14,2,869984,14
46619218,Microarchitectures,14,2,869984,14
3412596,MSX,14,2,869984,14
5065063,Network_architecture,14,2,869984,14
10736074,Network_computer_(brand),14,2,869984,14
10731040,Operating_system_kernels,14,2,869984,14
693664,Operating_systems,14,2,869984,14
13982193,Computer_hardware_researchers,14,2,869984,14
711721,Computer_data_storage,14,2,869984,14
21808348,Computer_hardware,0,2,699548,14
50761824,4D_vector,0,2,699548,14
48438443,ASRock_M8,0,2,699548,14
8116015,B5000_Instruction_Set,0,2,699548,14
52036756,Cache_hierarchy,0,2,699548,14
12075392,Computer_compatibility,0,2,699548,14
62288792,Electronic_badge,0,2,699548,14
18943937,Emulator,0,2,699548,14
57111064,Fingerprint_scanner,0,2,699548,14
293396,Flat-panel_display,0,2,699548,14
48648089,Game_development_kit,0,2,699548,14
24948768,General-Purpose_Serial_Interface,0,2,699548,14
27117682,GPU_switching,0,2,699548,14
52953373,Hardware_backdoor,0,2,699548,14
12662643,Hardware_compatibility_list,0,2,699548,14
39658646,Hardware_reset,0,2,699548,14
54213333,Hardware_security,0,2,699548,14
23692548,Hardware_Trojan,0,2,699548,14
56358777,Hardware-based_encryption,0,2,699548,14
64359579,Honeywell_JetWave,0,2,699548,14
49548566,Librem,0,2,699548,14
49544420,Mini-STX,0,2,699548,14
52991251,Nitro_Zeus,0,2,699548,14
64069392,Packard_Bell_Statesman,0,2,699548,14
58952059,Photonically_Optimized_Embedded_Microprocessors,0,2,699548,14
2466815,Plug_compatible,0,2,699548,14
7242445,Power_cycling,0,2,699548,14
59864839,Randomized_benchmarking,0,2,699548,14
57587843,List_of_search_appliance_vendors,0,2,699548,14
39976104,Vinyl_cutter,0,2,699548,14
52353307,X2_transceiver,0,2,699548,14
59237611,List_of_Xilinx_FPGAs,0,2,699548,14
64991197,Zero-overhead_looping,0,2,699548,14
14291979,Computer_hardware_by_company,14,2,699548,14
56007718,Computer_hardware_by_type,14,2,699548,14
22082375,Lists_of_computer_hardware,14,2,699548,14
1012986,Benchmarks_(computing),14,2,699548,14
4852323,Hardware_bugs,14,2,699548,14
2071681,Classes_of_computers,14,2,699548,14
6018532,Clock_signal,14,2,699548,14
699547,Computer_hardware_companies,14,2,699548,14
58659343,Hardware_acceleration,14,2,699548,14
53966675,Hardware_partitioning,14,2,699548,14
5460718,Hardware_testing,14,2,699548,14
5834819,History_of_computing_hardware,14,2,699548,14
44535180,Hardware_in_Linux,14,2,699548,14
13982193,Computer_hardware_researchers,14,2,699548,14
30857280,Computer_hardware_standards,14,2,699548,14
6228328,Computer_terminals,14,2,699548,14
5846676,Computer_hardware_tuning,14,2,699548,14
26976116,Hardware_virtualization,14,2,699548,14
3305546,Computer_hardware_logos,14,2,699548,14
1559587,Computer_hardware_stubs,14,2,699548,14
55332544,Internet_censorship_circumvention_technologies,10,2,4677693,14
57707341,Ace_Stream,0,2,4677693,14
464639,Ad_hoc_network,0,2,4677693,14
57763003,"Broadcast,_unknown-unicast_and_multicast_traffic",0,2,4677693,14
65790632,Call_setup,0,2,4677693,14
18391312,Cisco_Certified_Entry_Networking_Technician,0,2,4677693,14
934326,Class-based_queueing,0,2,4677693,14
6965005,Closed_system_(control_theory),0,2,4677693,14
26475040,Collision_avoidance_(networking),0,2,4677693,14
6827570,Comparison_of_streaming_media_software,0,2,4677693,14
2779187,Computer_network_diagram,0,2,4677693,14
2137712,Connection-oriented_communication,0,2,4677693,14
40950,Connectionless_communication,0,2,4677693,14
12568283,Consolidated_Tape_Association,0,2,4677693,14
18026501,Consolidation_ratio,0,2,4677693,14
31590539,Content_centric_networking,0,2,4677693,14
880860,Content_delivery_network,0,2,4677693,14
41012467,Content_delivery_network_interconnection,0,2,4677693,14
15013410,Content_delivery_platform,0,2,4677693,14
327799,Content-addressable_memory,0,2,4677693,14
19815283,Convergence_(routing),0,2,4677693,14
541496,Cut-through_switching,0,2,4677693,14
18223245,Data_cable,0,2,4677693,14
579730,Data_center,0,2,4677693,14
42168,Data_communication,0,2,4677693,14
21243458,Datakit,0,2,4677693,14
21463262,Datasource,0,2,4677693,14
33970218,DECbit,0,2,4677693,14
42035548,Decentralized_autonomous_organization,0,2,4677693,14
27609345,Decentralized_network_42,0,2,4677693,14
2466896,Defense_Information_System_Network,0,2,4677693,14
32224263,Dell_M1000e,0,2,4677693,14
39450160,Dell_Networking_Operating_System,0,2,4677693,14
8918305,Dell_PowerConnect,0,2,4677693,14
2100845,Directory_System_Agent,0,2,4677693,14
483109,DirectPlay,0,2,4677693,14
9183639,Diskless_shared-root_cluster,0,2,4677693,14
